5.23.128.0,5.23.255.255,32768,07/05/12,Telenet BVBA
31.31.128.0,31.31.159.255,8192,18/03/11,Citymesh NV
37.62.0.0,37.62.255.255,65536,20/01/12,Proximus NV
37.184.0.0,37.185.255.255,131072,19/03/12,Proximus NV
46.178.0.0,46.179.255.255,131072,07/12/10,Proximus NV
46.253.160.0,46.253.175.255,4096,14/01/11,Coditel Brabant SPRL/BVBA
57.0.0.0,57.255.255.255,16777216,21/06/93,
62.4.128.0,62.4.159.255,8192,08/12/99,Proximus NV
62.4.160.0,62.4.191.255,8192,09/05/00,Proximus NV
62.4.192.0,62.4.255.255,16384,09/05/00,Proximus NV
62.58.0.0,62.59.255.255,131072,15/06/00,
62.88.0.0,62.88.127.255,32768,23/01/06,Orange Belgium SA
62.166.0.0,62.166.255.255,65536,27/07/00,
62.197.64.0,62.197.127.255,16384,30/10/01,Brutele SC
62.205.64.0,62.205.127.255,16384,01/11/01,Telenet BVBA
62.213.192.0,62.213.255.255,16384,31/01/03,Kangaroot BVBA
62.233.0.0,62.233.31.255,8192,20/07/00,Getronics Belgium NV / SA
62.235.0.0,62.235.255.255,65536,02/01/01,Scarlet Belgium NV
77.241.80.0,77.241.95.255,4096,02/02/07,Combell NV
78.20.0.0,78.23.255.255,262144,14/05/07,Telenet BVBA
78.29.192.0,78.29.255.255,16384,27/09/07,Coditel Brabant SPRL/BVBA
78.110.192.0,78.110.207.255,4096,17/08/07,Destiny N.V
78.129.0.0,78.129.127.255,32768,17/04/07,Brutele SC
79.132.224.0,79.132.255.255,8192,01/10/08,EDPNET NV
80.65.128.0,80.65.143.255,4096,15/05/01,ASP SA
80.66.128.0,80.66.143.255,4096,16/05/01,Sprintlink Belgium bvba
80.88.32.0,80.88.47.255,4096,28/08/01,SONY ITE a division of SONY Service Europe Center
80.91.144.0,80.91.159.255,4096,14/06/05,MAC Telecom S.A.
80.200.0.0,80.201.255.255,131072,08/11/01,Proximus NV
80.236.128.0,80.236.255.255,32768,31/10/01,Scarlet Belgium NV
81.11.128.0,81.11.255.255,32768,13/05/02,Scarlet Belgium NV
81.58.0.0,81.59.255.255,131072,28/11/02,
81.82.0.0,81.83.255.255,131072,29/04/02,Telenet BVBA
81.95.112.0,81.95.127.255,4096,22/05/06,lcp nv
81.164.0.0,81.165.255.255,131072,01/05/03,Telenet BVBA
81.169.0.0,81.169.127.255,32768,10/04/03,Proximus NV
81.188.0.0,81.188.255.255,65536,18/02/03,Easynet Belgium
81.201.80.0,81.201.95.255,4096,20/06/06,Voxbone
81.240.0.0,81.243.255.255,262144,29/11/02,Proximus NV
81.244.0.0,81.247.255.255,262144,29/11/02,Proximus NV
82.143.64.0,82.143.127.255,16384,11/09/03,Telenet BVBA
82.146.96.0,82.146.127.255,8192,19/06/03,Meritel NV
82.212.128.0,82.212.191.255,16384,16/10/03,Brutele SC
83.101.0.0,83.101.127.255,32768,24/02/04,SCHEDOM NV
83.134.0.0,83.134.255.255,65536,22/01/04,Scarlet Belgium NV
83.217.64.0,83.217.79.255,4096,05/03/04,Combell NV
83.217.80.0,83.217.95.255,4096,05/03/04,Combell NV
83.217.128.0,83.217.159.255,8192,08/03/04,Coditel Brabant SPRL/BVBA
84.17.128.0,84.17.159.255,8192,27/07/04,Wallonie Data Center SA
84.192.0.0,84.199.255.255,524288,21/04/04,Telenet BVBA
85.10.64.0,85.10.127.255,16384,21/02/05,Orange Belgium SA
85.26.0.0,85.26.127.255,32768,09/03/05,Brutele SC
85.27.0.0,85.27.127.255,32768,18/03/05,Brutele SC
85.28.64.0,85.28.127.255,16384,29/04/05,Coditel Brabant SPRL/BVBA
85.88.32.0,85.88.63.255,8192,22/10/04,EUSIP bvba
85.91.160.0,85.91.191.255,8192,24/11/04,SmalS vzw
85.201.0.0,85.201.255.255,65536,11/01/05,Brutele SC
85.234.192.0,85.234.223.255,8192,03/05/05,EDPNET NV
85.255.192.0,85.255.207.255,4096,11/08/05,
